question;short;long
Bis wann muss ich meine Wohnung anmelden?;innerhalb von 14 Tagen;Sie müssen Ihre Wohnung innerhalb von 14 Tagen anmelden.
Warum muss ich meine Wohnung anmelden?;innerhalb der Stadt in eine neue Wohnung umgezogen sind;Sie müssen Ihre Wohnung anmelden,wenn Sie innerhalb der Stadt in eine neue Wohnung umgezogen sind.
Was erhalt ich nach der Anmeldung?;eine Meldebestätigung; Sie erhalten nach der Anmeldung eine Meldebestätigung.
Muss ich mich anmelden wenn ich nicht länger als 6 Monate in Berlin bleibe;Ausnahme;Wenn Sie nicht länger als 6 Monate in Berlin bleiben ist das eine Ausnahme.
Welche Voraussetzung müssen erfüllt sein?;Persönliches Erscheinen;Die Voraussetzung die Sie erfüllen müssen sind: Persönliches Erscheinen.
Muss ich meine Wohnung abmelden wenn ich ich ins Ausland ziehe?;nur bei einem Wegzug ins Ausland abmelden; Sie müssen Ihre Wohnung 
Wann muss ich eine Wohnung abmelden?;14 Tage nach dem Auszug; Sie müssen Ihre Wohnung 14 Tage nach dem Auszug abmelden.
Was muss ich machen wenn ich ins Ausland ziehen will?;abmelden;Wenn Sie ins Ausland ziehen wollen, melden Sie sich bitte ab.
Was muss ich machen bei befristete Auslandsaufenthalten?;keine Abmeldung;Bei befristete Auslandsaufenthalten ist keine Abmeldung nötig.
Muss ich mich abmelden wenn innerhalb von Deutschland umziehe?;brauchen Sie sich lediglich bei der Meldebehörde Ihrer neuen Wohnung anmelden;Wenn innerhalb von Deutschland umziehen, brauchen Sie sich lediglich bei der Meldebehörde Ihre neue Wohnung anzumelden.
Welche Voraussetzungen müssen erfüllt sein?;keine;Keine Voraussetzungen müssen Sie erfüllen.
Wer braucht eine Meldebescheinigung?;Behörden, Privatinstitutionen;Sie brauchen eine Meldebescheinigung für Behörden und Privatinstitutionen.
Was steht in der Meldebescheinigung?;die Anschriften;Die Meldebescheinigung beinhaltet Ihre Anschriften.
Muss ich mich noch ummelden?;Die Meldebescheinigung ersetzt nicht; Die Meldebescheinigung ersetzt nicht Ihre Ummeldung.
Kann ich die Meldebescheinigung als Lebensbescheinigung verwenden?;Sie können die Meldebescheinigung auch als Lebensbescheinigung verwenden;Sie können die Meldebescheinigung auch als Lebensbescheinigung verwenden.
Was macht man mit dem Führungszeugnis?;nachweisen, dass Sie nicht vorbestraft sind;Sie können mit dem Führungszeugnis nachweisen, dass Sie nicht vorbestraft sind.
Welche Arten von Führungszeugnissen gibt es?;ein einfaches Führungszeugnis und ein erweitertes Führungszeugnis; Arten von Führungszeugnissen sind: einfaches Führungszeugnis und ein erweitertes Führungszeugnis.
Wer erstellt das Führungszeugnis?;Bundesamt für Justiz in Bonn; Das Führungszeugnis wird vom Bundesamt für Justiz in Bonn erstellt.
Bekomme ich ein Führungszeugnis wenn ich aus einem EU-Staat bin?;Angehörige anderer EU-Staaten erhalten ein europäisches Führungszeugnis; Wenn Sie aus einem EU-Staat sind, erhalten Sie ein europäisches Führungszeugnis.
Bekomme ich das Führungszeugnis per Post?;postalisch an Ihre Anschrift übersandt;Das Führungszeugnis wird Ihnen postalisch an Ihre Anschrift übersandt.
